Date,Wind speed m/s
6/15/2024 17:50:00,2.4
6/15/2024 17:50:00,4.8
6/15/2024 17:50:01,2.4
6/15/2024 17:50:01,4.8
6/15/2024 17:50:02,2.4
6/15/2024 17:50:02,2.4
6/15/2024 17:50:03,2.4
6/15/2024 17:50:03,2.4
6/15/2024 17:50:04,3.6
6/15/2024 17:50:04,2.4
6/15/2024 17:50:05,2.4
6/15/2024 17:50:05,1.2
6/15/2024 17:50:06,0
6/15/2024 17:50:06,2.4
6/15/2024 17:50:07,2.4
6/15/2024 17:50:07,2.4
6/15/2024 17:50:08,2.4
6/15/2024 17:50:08,0
6/15/2024 17:50:09,2.4
6/15/2024 17:50:09,2.4
6/15/2024 17:50:10,2.4
6/15/2024 17:50:10,0
6/15/2024 17:50:11,1.2
6/15/2024 17:50:11,2.4
6/15/2024 17:50:12,2.4
6/15/2024 17:50:12,0
6/15/2024 17:50:13,2.4
6/15/2024 17:50:13,2.4
6/15/2024 17:50:14,2.4
6/15/2024 17:50:14,0
6/15/2024 17:50:15,2.4
6/15/2024 17:50:15,2.4
6/15/2024 17:50:16,1.2
6/15/2024 17:50:16,2.4
6/15/2024 17:50:17,1.2
6/15/2024 17:50:17,2.4
6/15/2024 17:50:18,1.2
6/15/2024 17:50:18,2.4
6/15/2024 17:50:19,1.2
6/15/2024 17:50:19,2.4
6/15/2024 17:50:20,1.2
6/15/2024 17:50:20,2.4
6/15/2024 17:50:21,3.6
6/15/2024 17:50:21,1.2
6/15/2024 17:50:22,1.2
6/15/2024 17:50:22,4.8
6/15/2024 17:50:23,1.2
6/15/2024 17:50:23,2.4
6/15/2024 17:50:24,1.2
6/15/2024 17:50:24,2.4
6/15/2024 17:50:25,2.4
6/15/2024 17:50:25,2.4
6/15/2024 17:50:26,2.4
6/15/2024 17:50:26,2.4
6/15/2024 17:50:27,2.4
6/15/2024 17:50:27,2.4
6/15/2024 17:50:28,2.4
6/15/2024 17:50:28,0
6/15/2024 17:50:29,2.4
6/15/2024 17:50:29,2.4
6/15/2024 17:50:30,0
6/15/2024 17:50:30,1.2
6/15/2024 17:50:31,2.4
6/15/2024 17:50:31,0
6/15/2024 17:50:32,2.4
6/15/2024 17:50:32,0
6/15/2024 17:50:33,2.4
6/15/2024 17:50:33,0
